Tc: 2579965.1289741104, Phic: 5.733909229295902, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 0.8915680231432193, SNR: 20
Tc: 2579965.1289741104, Phic: 5.733909229295902, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 0.8915680231432193, SNR: 50
Tc: 2579965.1289741104, Phic: 5.733909229295902, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 0.8915680231432193, SNR: 100
Tc: 2579965.1289741104, Phic: 0.09506096178026605, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 0.8915680231432193, SNR: 20
Tc: 2579965.1289741104, Phic: 0.09506096178026605, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 0.8915680231432193, SNR: 50
Tc: 2579965.1289741104, Phic: 0.09506096178026605, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 0.8915680231432193, SNR: 100
Tc: 2579965.1289741104, Phic: 6.03744324575039, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 1.0838004957760219, PhiS: 4.8783694734846375, Iota: 2.12016342568209, Psi: 2.035802601305333, SNR: 20
Tc: 2579965.1289741104, Phic: 6.03744324575039, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 1.0838004957760219, PhiS: 4.8783694734846375, Iota: 2.12016342568209, Psi: 2.035802601305333, SNR: 50
Tc: 2579965.1289741104, Phic: 6.03744324575039, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 1.0838004957760219, PhiS: 4.8783694734846375, Iota: 2.12016342568209, Psi: 2.035802601305333, SNR: 100
Tc: 2579965.1289741104, Phic: 0.9621192393661115, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 1.0838004957760219, PhiS: 4.8783694734846375, Iota: 2.12016342568209, Psi: 2.035802601305333, SNR: 20
